Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:12:39.0140	B6	8	51 00 2B 00 2C 56 00 D0 	49.9	DA
Rx	00:12:38.9741	7	8	40 00 01 81 80 00 00 9F 	100.0	DA
Rx	00:12:38.9836	10A	2	02 01 	100.0	DA
Rx	00:12:39.0172	99	8	00 03 32 FE FE 80 14 04 	100.4	DA
Rx	00:12:39.0273	359	6	24 91 21 24 B6 00 	502.0	DA
Rx	00:12:38.9989	1C4	6	64 00 00 04 00 00 	99.9	DA
Rx	00:12:39.0146	21F	3	00 00 00 	101.1	DA
Rx	00:12:39.0241	46	8	F0 00 00 00 C0 00 00 B7 	100.1	DA
Rx	00:12:38.6340	F6	8	8E 39 00 34 CC 7D 7D 20 	500.0	DA
Rx	00:12:38.9607	5A	2	00 00 	98.9	DA
Rx	00:12:38.8624	58	3	A0 00 01 	199.8	DA
Rx	00:12:38.9438	94	5	80 00 10 00 00 	100.3	DA
Rx	00:12:38.9541	36	8	0E 00 00 2E 21 00 00 A0 	100.1	DA
Rx	00:12:38.9158	18	5	0F 00 71 7E 5F 	199.0	DA
Rx	00:12:38.7563	119	8	10 00 01 80 01 00 60 00 	501.4	DA
Rx	00:12:38.2623	29A	3	00 FF 00 	996.0	DA
Rx	00:12:38.8040	C6	8	79 00 60 60 00 00 00 C7 	1000.0	DA
Rx	00:12:38.7574	507	8	08 00 01 00 00 00 00 00 	1004.0	DA
Rx	00:12:38.8391	512	8	A9 00 00 00 00 00 00 00 	1000.1	DA
Rx	00:12:38.8603	50A	8	08 3F 3F 06 01 F9 6D 79 	995.4	DA
Rx	00:12:38.8612	504	8	08 9F 5A 15 02 B3 1A BE 	994.2	DA
Rx	00:12:38.1818	502	8	09 00 00 00 00 00 00 00 	1003.0	DA
Rx	00:12:39.0337	182	3	04 0B 5B 	1000.0	DA
