Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:07:20.2417	28C	5	04 00 00 00 00 	99.9	DA
Rx	00:07:20.2599	167	8	01 00 FF FF 00 00 00 00 	100.0	DA
Rx	00:07:20.2470	13E	8	39 51 00 51 00 2B 00 64 	100.1	DA
Rx	00:07:20.0926	1D0	7	22 00 04 56 00 05 06 	520.1	DA
Rx	00:07:20.0442	225	5	30 40 10 02 EE 	500.1	DA
Rx	00:07:20.2519	B6	8	51 00 2B 00 B4 41 00 D0 	50.0	DA
Rx	00:07:20.2569	17E	8	00 00 00 40 00 00 00 00 	99.9	DA
Rx	00:07:20.0616	2E1	3	0F C4 00 	1000.0	DA
Rx	00:07:20.2665	18C	2	00 00 	100.1	DA
Rx	00:07:20.2728	1A1	8	7F FF 00 FF FF FF FF FF 	199.1	DA
Rx	00:07:20.2786	1CC	2	00 00 	100.6	DA
Rx	00:07:20.1229	190	8	FF FF FF FF FF FF FF FF 	206.1	DA
Rx	00:07:20.2870	16D	8	80 00 51 02 70 00 00 00 	199.9	DA
Rx	00:07:20.2842	131	6	01 10 00 00 00 20 	100.0	DA
Rx	00:07:20.2918	24C	5	04 00 00 00 00 	99.1	DA
Rx	00:07:20.0853	520	8	09 00 00 00 01 00 00 00 	1000.0	DA
Rx	00:07:20.2716	21F	3	00 00 00 	99.3	DA
Rx	00:07:20.2969	36	8	0E 00 00 2E 21 00 00 A0 	100.0	DA
Rx	00:07:20.2323	355	2	02 00 	102.9	DA
Rx	00:07:20.2750	2D5	1	02 	102.3	DA
Rx	00:07:20.2769	10B	6	00 28 00 07 C1 00 	100.1	DA
Rx	00:07:20.2069	1BE	8	B4 00 00 70 C0 00 00 00 	100.0	DA
Rx	00:07:20.2803	115	4	04 00 00 00 	102.8	DA
Rx	00:07:20.1120	12D	8	37 21 21 00 00 4C 98 00 	500.1	DA
Rx	00:07:20.2140	165	4	C0 C6 10 00 	100.0	DA
Rx	00:07:20.1219	1A8	8	00 00 00 00 00 04 B7 BA 	200.0	DA
Rx	00:07:20.2369	E6	6	00 B4 6C B4 6C 69 	100.0	DA
Rx	00:07:20.2781	110	8	FF FF FF FF FF FF FF FF 	103.0	DA
Rx	00:07:20.2318	14C	5	00 00 00 00 80 	100.0	DA
Rx	00:07:20.2796	217	8	E2 00 00 00 00 FF FF E0 	107.9	DA
Rx	00:07:20.1380	161	7	00 00 8D 12 00 00 FF 	499.9	DA
Rx	00:07:20.1342	3E5	6	00 00 00 00 00 00 	500.0	DA
Rx	00:07:20.2606	DF	3	10 00 40 	500.2	DA
Rx	00:07:20.2616	525	8	0D 00 00 00 00 00 00 00 	1000.3	DA
Rx	00:07:20.1616	336	3	56 46 37 	1000.1	DA
Rx	00:07:20.1737	128	8	00 20 00 00 C0 80 A0 01 	200.4	DA
Rx	00:07:20.1917	18	5	0F 00 71 7E 5F 	200.0	DA
Rx	00:07:20.1849	325	3	00 00 00 	500.0	DA
Rx	00:07:20.2116	26D	4	00 00 00 00 	500.0	DA
Rx	00:07:20.2219	168	8	00 00 00 00 00 00 00 00 	200.0	DA
Rx	00:07:20.2381	3A7	8	24 A0 80 00 43 00 00 05 	499.9	DA
Rx	00:07:20.2341	365	5	FF FF FF 00 00 	500.0	DA
Rx	00:07:19.6297	50B	8	09 00 00 00 00 00 00 00 	1024.2	DA
Rx	00:07:19.8998	15B	8	01 03 92 40 00 D0 00 10 	500.2	DA
Rx	00:07:20.2851	3A5	6	FF FF FF FF 7F 00 	500.0	DA
Rx	00:07:19.8379	361	6	09 10 11 80 10 00 	500.8	DA
Rx	00:07:19.8743	1E5	7	3F 3F 3F 3F 3F 40 02 	500.1	DA
Rx	00:07:19.8813	2A0	1	00 	500.0	DA
Rx	00:07:19.3869	261	7	23 01 35 FF FF 02 0A 	1000.1	DA
Rx	00:07:19.8848	1A5	1	E5 	500.1	DA
Rx	00:07:19.9119	F6	8	8E 39 00 34 6B 7D 7D 20 	500.0	DA
Rx	00:07:19.9380	260	8	03 03 92 40 00 D0 00 10 	500.8	DA
Rx	00:07:19.9344	2A5	8	00 00 00 00 00 00 00 00 	500.0	DA
Rx	00:07:19.4619	2A1	7	23 01 35 FF FF 02 0A 	1000.1	DA
Rx	00:07:19.9850	265	4	80 00 00 00 	500.1	DA
Rx	00:07:19.9941	1E0	5	00 00 A2 00 00 	500.0	DA
Rx	00:07:20.0378	227	4	00 00 00 00 	500.9	DA
Rx	00:07:19.5620	2B6	8	30 30 30 30 30 30 30 30 	1000.1	DA
Rx	00:07:19.6896	3F6	7	00 70 C0 00 00 80 00 	1000.3	DA
Rx	00:07:19.5850	2E5	4	00 00 00 00 	1000.1	DA
Rx	00:07:20.1302	315	5	FF FF 40 7D 00 	1024.6	DA
Rx	00:07:19.6620	221	7	80 FF FF FF FF FF FF 	1000.2	DA
Rx	00:07:20.2813	50C	8	09 00 00 00 00 00 00 00 	1027.3	DA
Rx	00:07:19.7618	3B6	6	30 30 30 30 30 30 	1000.1	DA
Rx	00:07:19.7871	120	8	7C 00 00 01 00 00 00 00 	1000.2	DA
Rx	00:07:19.8068	512	8	AF 00 97 00 00 00 00 00 	1000.0	DA
Rx	00:07:20.2950	255	5	FF FF 40 FD 00 	1024.2	DA
Rx	00:07:20.0202	52D	8	0D 00 00 00 00 00 00 00 	1036.1	DA
Rx	00:07:20.2746	51F	8	09 00 00 00 00 00 00 00 	1023.6	DA
Rx	00:07:20.2761	317	8	F7 00 82 C8 C0 00 00 00 	1023.2	DA
