Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:11:09.2574	208	8	51 00 1D 73 01 B9 E2 3B 	9.9	DA
Rx	00:11:09.2577	348	8	EA FF 51 FD 00 03 EC 19 	20.0	DA
Rx	00:11:09.2578	468	3	A0 3F FB 	39.5	DA
Rx	00:11:09.2581	3CD	8	BA 3F F5 38 E3 B7 DF 77 	10.4	DA
Rx	00:11:09.2582	3ED	4	CE 5C F6 F6 	39.1	DA
Rx	00:11:09.2584	40D	8	BA CF D7 AD 3D BF F3 17 	20.2	DA
Rx	00:11:09.2587	44D	8	2B F7 2B 19 2B 3C 5A C9 	39.1	DA
Rx	00:11:09.2623	305	6	00 28 00 07 49 00 	9.9	DA
Rx	00:11:09.2271	432	6	81 54 48 FE 00 00 	50.0	DA
Rx	00:11:09.2599	517	3	EB AA 80 	100.1	DA
Rx	00:11:09.2187	38D	5	2B 00 C2 59 AF 	50.7	DA
Rx	00:11:09.1872	50E	8	00 00 30 80 00 00 FF 01 	100.1	DA
Rx	00:11:09.0972	7E2	7	03 61 8E FF FF FF 00 	1000.2	DA
Rx	00:11:09.2522	412	8	10 00 00 00 00 8D 00 00 	50.0	DA
Rx	00:11:09.2320	592	3	00 00 00 	100.0	DA
Rx	00:11:09.2186	488	8	39 B5 19 00 DD 8D CE EE 	100.1	DA
Rx	00:11:09.2198	50D	6	00 C2 59 C2 59 69 	100.4	DA
Rx	00:11:09.2420	612	5	11 23 01 10 00 	99.9	DA
Rx	00:11:09.1971	7F2	8	03 61 8E FF FF FF 00 00 	1000.0	DA
Rx	00:11:08.3187	552	5	00 7F 00 00 00 	1000.2	DA
Rx	00:11:08.4892	797	6	00 00 00 00 00 00 	1000.9	DA
Rx	00:11:09.0021	792	8	00 00 00 00 00 40 00 00 	1000.0	DA
