Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	01:21:29.6648	512	8	A9 00 00 00 00 00 00 00 	1000.1	DA
Rx	01:21:29.8349	50A	8	08 3F 3F 06 01 F9 6D 79 	996.0	DA
Rx	01:21:30.3425	507	8	00 00 01 00 00 00 00 00 	1003.6	DA
Rx	01:21:29.8358	504	8	08 9F 5A 15 02 B3 1A BE 	996.0	DA
Rx	01:21:30.5257	502	8	01 00 00 00 00 00 00 00 	1003.4	DA
Rx	01:21:30.4016	359	6	24 93 21 24 B6 00 	502.1	DA
Rx	01:21:30.2329	29A	3	00 FF 00 	996.0	DA
Rx	01:21:30.5549	21F	3	00 FE 00 	100.3	DA
Rx	01:21:30.5247	1C4	6	64 00 00 04 00 00 	100.0	DA
Rx	01:21:29.8594	182	3	08 07 99 	1000.0	DA
Rx	01:21:30.3413	119	8	10 00 01 80 01 00 60 00 	502.0	DA
Rx	01:21:30.5094	10A	2	03 01 	100.0	DA
Rx	01:14:58.2095	102	2	00 00 	99.8	DA
Rx	01:21:30.4598	F6	8	88 66 00 35 FA 80 80 60 	500.1	DA
Rx	01:21:29.6298	C6	8	79 00 60 60 00 00 00 C9 	1000.1	DA
Rx	01:21:30.5398	B6	8	00 00 00 00 C8 D5 00 D0 	50.0	DA
Rx	01:21:30.4820	99	8	00 03 32 FE FE 00 14 04 	100.4	DA
Rx	01:21:30.4849	94	5	40 00 08 00 00 	100.3	DA
Rx	01:21:30.5325	5A	2	00 02 	99.3	DA
Rx	01:21:30.4338	58	3	A0 00 01 	199.1	DA
Rx	01:21:30.5499	46	8	C0 00 00 00 C0 00 00 84 	100.1	DA
Rx	01:21:30.4798	36	8	0E 00 00 2E 01 00 00 A0 	100.0	DA
Rx	01:21:30.4880	18	5	0F 00 71 7E 5F 	199.2	DA
Rx	01:21:30.4998	7	8	00 00 04 01 80 00 00 CC 	100.0	DA
Rx	01:06:54.1258	142	3	80 00 00 	500.0	DA
Rx	01:06:54.1694	114	5	40 98 4C 67 6F 	34.0	DA
