Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:57:21.2492	5E0	8	20 0E 06 0B 31 00 20 22 	3441249.2	DA
Rx	01:21:07.2392	52D	8	05 00 00 00 00 00 00 00 	1057.1	DA
Rx	01:21:06.7640	525	8	05 00 00 00 00 00 00 00 	1000.4	DA
Rx	01:21:06.3412	520	8	01 00 00 00 00 00 00 00 	1000.2	DA
Rx	01:21:06.4798	51F	8	01 00 00 00 00 00 00 00 	1027.9	DA
Rx	01:21:06.6534	512	8	AF 00 5D 00 00 00 00 00 	1000.1	DA
Rx	01:21:06.8562	50C	8	01 00 00 00 00 00 00 00 	1024.6	DA
Rx	01:21:07.1143	50B	8	01 00 00 00 00 00 00 00 	1024.2	DA
Rx	00:57:23.3624	4A0	8	58 C9 1A 80 FF FF FF FF 	103.7	DA
Rx	01:21:06.5028	3F6	7	01 D3 70 00 00 80 00 	1000.4	DA
Rx	01:21:06.8869	3E5	6	00 00 00 00 00 00 	500.0	DA
Rx	01:21:06.6084	3B6	6	30 30 30 30 30 30 	1000.2	DA
Rx	01:21:07.0838	3A7	8	24 A0 80 00 45 00 00 05 	500.3	DA
Rx	01:21:07.0379	3A5	6	FF FF FF FF 7F 00 	500.0	DA
Rx	01:21:06.9869	365	5	FF FF FF 00 00 	500.1	DA
Rx	01:21:07.1843	361	6	01 10 11 80 10 00 	501.0	DA
Rx	01:21:07.1994	355	2	02 00 	103.0	DA
Rx	01:21:07.0080	336	3	56 46 37 	1000.0	DA
Rx	01:21:06.9376	325	3	00 00 00 	500.0	DA
Rx	01:21:06.4815	317	8	F7 00 82 C8 C0 00 00 00 	1027.2	DA
Rx	01:21:06.7072	315	5	FF FF 40 80 00 	1024.5	DA
Rx	01:21:06.8400	2E5	4	00 00 00 00 	1000.1	DA
Rx	01:21:06.9081	2E1	3	0F 4C 00 	1000.1	DA
Rx	01:21:07.1852	2D5	1	02 	102.4	DA
Rx	01:21:06.4084	2B6	8	30 30 30 30 30 30 30 30 	1000.0	DA
Rx	01:21:07.1872	2A5	8	00 00 00 00 00 00 00 00 	499.7	DA
Rx	01:21:06.3083	2A1	7	22 01 5C 00 00 02 61 	1000.0	DA
Rx	01:21:07.2288	2A0	1	00 	500.8	DA
Rx	01:21:07.1898	28C	5	04 00 00 00 00 	100.8	DA
Rx	01:21:07.0581	26D	4	00 00 00 00 	500.0	DA
Rx	01:21:06.8392	265	4	A1 00 00 00 	499.1	DA
Rx	01:21:07.2334	261	7	22 01 5C 00 00 02 61 	999.0	DA
Rx	01:21:06.7834	260	8	02 03 92 40 00 D0 00 10 	499.9	DA
Rx	01:21:06.7553	255	5	FF FF 40 FD 00 	1024.1	DA
Rx	01:21:07.2382	24C	5	04 00 00 00 00 	99.7	DA
Rx	01:21:06.8832	227	4	00 00 00 00 	500.0	DA
Rx	01:21:06.7878	225	5	30 10 10 03 5E 	500.9	DA
Rx	01:21:06.5085	221	7	00 FF FF 07 D0 FF FF 	1000.2	DA
Rx	01:21:07.1888	21F	3	00 FE 00 	100.7	DA
Rx	01:21:07.1979	217	8	E2 00 00 00 00 FF FF E0 	103.7	DA
Rx	01:21:06.7670	1E5	7	3F 3F 3F 3F 3F 00 02 	500.0	DA
Rx	01:21:06.8378	1E0	5	00 00 A2 80 00 	499.1	DA
Rx	01:21:06.7921	1D0	7	22 00 04 56 00 05 06 	534.2	DA
Rx	01:21:07.2230	1CC	2	00 00 	100.0	DA
Rx	01:21:07.2533	1BE	8	B4 00 01 D3 70 00 00 00 	99.9	DA
Rx	01:21:07.1684	1A8	8	00 00 00 00 00 05 53 66 	200.1	DA
Rx	01:21:07.1378	1A5	1	E3 	500.3	DA
Rx	01:21:07.1184	1A1	8	FF FF 00 FF FF FF FF FF 	200.0	DA
Rx	01:21:07.1364	190	8	FF FF FF FF FF FF FF FF 	210.6	DA
Rx	01:21:07.2129	18C	2	00 00 	100.0	DA
Rx	01:21:07.2034	17E	8	00 00 00 00 00 00 00 00 	100.0	DA
Rx	01:21:07.1335	16D	8	80 00 51 02 7E 00 00 00 	199.1	DA
Rx	01:21:07.0684	168	8	00 00 00 00 04 00 00 00 	200.0	DA
Rx	01:21:07.1631	167	8	01 00 FF FF 00 00 00 00 	100.1	DA
Rx	01:21:07.1668	165	4	40 C0 00 00 	100.0	DA
Rx	01:21:06.9843	161	7	00 00 8D 6F 00 00 FF 	500.8	DA
Rx	01:21:06.9030	15B	8	01 03 92 40 00 D0 00 10 	500.2	DA
Rx	01:21:07.1782	14C	5	00 00 00 00 80 	99.9	DA
Rx	01:21:07.1943	13E	8	66 00 00 51 00 00 00 64 	99.1	DA
Rx	01:21:07.2370	131	6	01 10 00 00 00 20 	99.8	DA
Rx	01:21:06.9585	12D	8	00 21 21 00 00 43 98 00 	500.0	DA
Rx	01:21:07.2184	128	8	00 00 00 00 80 80 A0 01 	199.9	DA
Rx	01:06:55.8495	125	2	01 00 	573106.6	DA
Rx	01:21:06.6344	120	8	BC 00 00 00 00 00 00 00 	999.8	DA
Rx	00:02:44.3377	11F	3	30 00 0A 	1353.5	DA
Rx	01:21:07.1859	115	4	02 00 00 00 	100.5	DA
Rx	01:21:07.1882	110	8	FF FF FF FF FF FF FF FF 	103.4	DA
Rx	01:21:07.1932	10B	6	00 25 00 07 DD 00 	100.0	DA
Rx	01:21:06.7584	F6	8	88 66 00 35 FA 80 80 60 	499.6	DA
Rx	01:21:07.2282	E6	6	00 C8 D5 C8 D5 69 	100.1	DA
Rx	01:21:06.8226	DF	3	10 00 40 	500.2	DA
Rx	01:21:07.2484	B6	8	00 00 00 00 C8 D5 00 D0 	49.5	DA
Rx	01:21:07.2434	36	8	0E 00 00 2E 01 00 00 A0 	100.1	DA
Rx	01:21:07.1833	18	5	0F 00 71 7E 5F 	200.1	DA
