Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	01:21:21.0285	7F2	8	03 61 8F 00 05 65 FF 00 	1000.1	DA
Rx	01:21:20.9285	7E2	7	03 61 8F 00 05 65 FF 	1000.1	DA
Rx	01:21:21.3839	797	6	00 00 00 00 00 00 	1000.9	DA
Rx	01:21:20.8336	792	8	00 00 00 00 00 40 00 00 	1000.2	DA
Rx	01:21:21.7735	612	5	11 21 01 64 00 	100.0	DA
Rx	01:21:21.7634	592	3	00 00 08 	99.9	DA
Rx	01:21:21.1504	552	5	01 D4 50 00 00 	1000.4	DA
Rx	01:21:21.7543	517	3	69 AA 80 	100.1	DA
Rx	01:21:21.8185	50E	8	00 00 30 80 00 00 FF 0D 	100.0	DA
Rx	01:21:21.7677	50D	6	00 C8 D5 C8 D5 69 	98.9	DA
Rx	01:21:21.7668	488	8	66 B5 19 00 DD 8D CE EE 	99.4	DA
Rx	01:21:21.7866	468	3	A0 3F FB 	39.8	DA
Rx	01:21:21.7875	44D	8	00 F7 00 19 00 3C 00 C9 	39.8	DA
Rx	01:21:21.8086	432	6	81 5F 48 FE 00 00 	50.1	DA
Rx	01:21:21.7836	412	8	10 00 00 00 00 8D 00 00 	50.0	DA
Rx	01:21:21.8069	40D	8	BA CF D7 AD 3D BF F3 17 	19.6	DA
Rx	01:21:21.7870	3ED	4	CE 5C F6 F6 	39.8	DA
Rx	01:21:21.8165	3CD	8	BA 3F F5 38 E3 B7 DF 77 	9.9	DA
Rx	01:21:21.8163	38D	5	00 00 C8 D5 AF 	49.3	DA
Rx	01:21:21.8064	348	8	EA FF 51 FD 00 00 EC 19 	19.9	DA
Rx	01:21:21.8187	305	6	00 25 00 07 44 00 	9.9	DA
Rx	01:21:21.8161	208	8	00 00 1D 73 01 B9 E2 3B 	9.9	DA
Rx	01:06:54.5287	117	8	00 01 02 05 FF 34 0E 11 	4014528.7	DA
Rx	01:06:54.4315	105	8	84 17 07 03 FF 00 00 38 	4014431.5	DA
Rx	01:14:49.4664	4C8	3	00 01 00 	50.0	DA
