Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:37:45.9718	3CD	8	BA 3F F5 38 E3 B7 DF 77 	10.0	DA
Rx	00:37:45.9725	305	6	00 24 00 07 BA 00 	10.0	DA
Rx	00:37:45.9714	208	8	1E 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:37:45.9721	40D	8	BA CF D7 AD 3D BF F3 17 	19.2	DA
Rx	00:37:45.9716	348	8	EA FF 51 FD 00 03 EC 19 	19.9	DA
Rx	00:37:45.9527	3ED	4	CE 5C F6 F6 	39.6	DA
Rx	00:37:45.9531	44D	8	0B F7 0B 19 0B 3C 18 C9 	39.6	DA
Rx	00:37:45.9521	468	3	A0 3F FB 	40.1	DA
Rx	00:37:45.9616	38D	5	0B 00 0F 37 AF 	49.1	DA
Rx	00:37:45.9764	432	6	81 56 48 FE 00 00 	49.9	DA
Rx	00:37:45.9519	412	8	10 00 00 00 00 8D 00 00 	50.3	DA
Rx	00:37:45.8814	592	3	00 00 00 	100.0	DA
Rx	00:37:45.9123	488	8	5E B5 19 00 DD 8D CE EE 	99.8	DA
Rx	00:37:45.8914	612	5	11 21 01 64 00 	99.9	DA
Rx	00:37:45.9365	50E	8	00 00 30 80 00 00 FF 03 	100.0	DA
Rx	00:37:45.9276	517	3	69 AA 80 	100.0	DA
Rx	00:37:45.9137	50D	6	00 0F 37 0F 37 69 	100.1	DA
Rx	00:37:45.9680	552	5	01 30 D0 00 00 	1000.2	DA
Rx	00:37:45.8465	7F2	8	03 61 8E FF FF FF 00 00 	1000.1	DA
Rx	00:37:45.7465	7E2	7	03 61 8E FF FF FF 00 	999.8	DA
Rx	00:37:45.6516	792	8	00 00 00 00 00 40 00 00 	1000.2	DA
Rx	00:37:45.8580	797	6	00 00 00 00 00 00 	1001.0	DA
