Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	01:10:53.6206	512	8	A9 00 00 00 00 00 00 00 	1000.0	DA
Rx	01:10:53.3763	50A	8	08 3F 3F 06 01 F9 6D 79 	996.0	DA
Rx	01:10:52.8384	507	8	08 00 01 00 00 00 00 00 	1004.1	DA
Rx	01:10:53.3778	504	8	08 9F 5A 15 02 B3 1A BE 	994.6	DA
Rx	01:10:53.6479	502	8	09 00 00 00 00 00 00 00 	1002.9	DA
Rx	01:10:53.3991	359	6	24 93 21 24 B6 00 	502.0	DA
Rx	01:10:53.7744	29A	3	00 FF 00 	996.1	DA
Rx	01:10:53.7779	21F	3	00 FE 00 	100.3	DA
Rx	01:10:53.7805	1C4	6	64 00 00 04 00 00 	100.0	DA
Rx	01:10:52.8152	182	3	04 0B 5B 	1000.1	DA
Rx	01:10:53.3390	119	8	10 00 01 80 01 00 60 00 	501.8	DA
Rx	01:10:53.7651	10A	2	01 01 	99.9	DA
Rx	01:10:21.0900	102	2	00 00 	199.7	DA
Rx	01:10:53.4155	F6	8	8E 66 00 35 FA 80 80 60 	500.0	DA
Rx	01:10:53.5856	C6	8	79 00 60 60 00 00 00 CD 	1000.1	DA
Rx	01:10:53.7956	B6	8	19 00 00 00 C8 D5 00 D0 	50.0	DA
Rx	01:10:53.7465	99	8	00 03 12 FE FE 80 14 04 	100.9	DA
Rx	01:10:53.7079	94	5	20 00 02 00 00 	100.3	DA
Rx	01:10:53.7757	5A	2	00 02 	100.0	DA
Rx	01:10:53.7763	58	3	A0 00 01 	199.3	DA
Rx	01:10:53.8056	46	8	F0 00 00 00 CC 00 00 76 	100.0	DA
Rx	01:10:53.7357	36	8	0E 00 00 2E 21 00 00 A0 	100.0	DA
Rx	01:10:53.6310	18	5	0F 00 71 7E 5F 	199.2	DA
Rx	01:10:53.7557	7	8	40 00 05 81 80 00 00 DD 	100.0	DA
Rx	01:06:54.1258	142	3	80 00 00 	500.0	DA
Rx	01:06:54.1694	114	5	40 98 4C 67 6F 	34.0	DA
