Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	01:09:09.6134	512	8	A9 00 00 00 00 00 00 00 	1000.1	DA
Rx	01:09:08.7939	50A	8	08 3F 3F 06 01 F9 6D 79 	996.0	DA
Rx	01:09:09.4320	507	8	08 00 01 00 00 00 00 00 	1004.0	DA
Rx	01:09:08.7949	504	8	08 9F 5A 15 02 B3 1A BE 	993.9	DA
Rx	01:09:09.3403	502	8	09 00 00 00 00 00 00 00 	1002.9	DA
Rx	01:09:09.4909	359	6	24 93 21 24 B6 00 	501.8	DA
Rx	01:09:09.1920	29A	3	00 FF 00 	996.1	DA
Rx	01:09:09.5706	21F	3	00 00 00 	100.4	DA
Rx	01:09:09.5732	1C4	6	64 00 00 04 00 00 	99.9	DA
Rx	01:09:08.8080	182	3	04 0B 5B 	1000.1	DA
Rx	01:09:09.4308	119	8	10 00 01 80 01 00 60 00 	501.4	DA
Rx	01:09:09.5579	10A	2	08 01 	100.0	DA
Rx	01:08:31.6828	102	2	06 50 	800.3	DA
Rx	01:09:09.4083	F6	8	8E 66 00 35 FA 7E 7E 20 	500.0	DA
Rx	01:09:09.5784	C6	8	79 00 60 60 00 00 00 C5 	1000.2	DA
Rx	01:09:09.6384	B6	8	19 00 00 00 C8 D5 00 D0 	50.1	DA
Rx	01:09:09.5514	99	8	00 03 12 FE FE 80 14 04 	100.4	DA
Rx	01:09:09.6008	94	5	20 40 02 00 00 	100.3	DA
Rx	01:09:09.5916	5A	2	00 00 	99.9	DA
Rx	01:09:09.5923	58	3	A0 00 01 	199.2	DA
Rx	01:09:09.5984	46	8	F0 00 00 00 C0 00 00 B2 	100.1	DA
Rx	01:09:09.6284	36	8	0E 00 00 2E 21 00 00 A0 	100.1	DA
Rx	01:09:09.4470	18	5	0F 00 71 7E 5F 	199.2	DA
Rx	01:09:09.5484	7	8	40 00 05 81 80 00 00 D7 	100.1	DA
Rx	01:06:54.1258	142	3	80 00 00 	500.0	DA
Rx	01:06:54.1694	114	5	40 98 4C 67 6F 	34.0	DA
