Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	01:07:23.6060	512	8	A9 00 00 00 00 00 00 00 	1000.0	DA
Rx	01:07:23.2155	50A	8	08 3F 3F 06 01 F9 6D 79 	996.0	DA
Rx	01:07:23.0139	507	8	08 00 01 00 00 00 00 00 	1004.0	DA
Rx	01:07:23.2164	504	8	08 9F 5A 15 02 B3 1A BE 	996.0	DA
Rx	01:07:23.0268	502	8	09 00 00 00 00 00 00 00 	1003.0	DA
Rx	01:07:23.5749	359	6	24 93 21 24 B6 00 	502.1	DA
Rx	01:07:23.6135	29A	3	00 FF 00 	996.0	DA
Rx	01:07:23.6582	21F	3	00 00 00 	100.3	DA
Rx	01:07:23.6658	1C4	6	64 00 00 04 00 00 	99.9	DA
Rx	01:07:22.8006	182	3	04 0B 5B 	1000.1	DA
Rx	01:07:23.5147	119	8	10 00 01 80 01 00 60 00 	502.0	DA
Rx	01:07:23.6505	10A	2	03 01 	99.9	DA
Rx	01:06:12.6728	102	2	00 00 	300.1	DA
Rx	01:07:23.4010	F6	8	8E 66 00 35 FA 80 80 20 	500.1	DA
Rx	01:07:23.5709	C6	8	79 00 60 60 00 00 00 CB 	1000.0	DA
Rx	01:07:23.6809	B6	8	19 00 00 00 C8 D5 00 D0 	49.2	DA
Rx	01:07:23.6307	99	8	00 03 32 FE FE 7E 14 04 	100.5	DA
Rx	01:07:23.6885	94	5	20 00 02 00 00 	100.3	DA
Rx	01:07:23.6149	5A	2	00 00 	99.7	DA
Rx	01:07:23.6155	58	3	A0 00 01 	199.3	DA
Rx	01:07:23.6910	46	8	00 00 00 00 00 00 00 06 	100.0	DA
Rx	01:07:23.6210	36	8	0E 00 00 0F 21 00 00 A0 	100.0	DA
Rx	01:07:23.6694	18	5	0F 00 71 7E 5F 	199.2	DA
Rx	01:07:23.6410	7	8	40 00 01 81 80 00 00 9E 	100.0	DA
Rx	01:06:54.1258	142	3	80 00 00 	500.0	DA
Rx	01:06:54.1694	114	5	40 98 4C 67 6F 	34.0	DA
